ID;Gender;Ever_Married;Age;Graduated;Profession;Work_Experience;Spending_Score;Family_Size;Var_1;Segmentation
466645;Male;Yes;66;Yes;Lawyer;5.0;Low;2.0;Cat_6;C
462521;Female;No;33;No;Homemaker;9.0;Low;1.0;Cat_6;A
461679;Male;No;28;Yes;Healthcare;4.0;Low;4.0;Cat_6;D
461644;Male;No;31;No;Healthcare;1.0;Low;6.0;Cat_6;B
461889;Male;Yes;42;Yes;Artist;2.0;Average;2.0;Cat_6;C
464671;Male;No;30;No;Entertainment;1.0;Low;2.0;Cat_4;D
459603;Female;Yes;89;No;Lawyer;3.0;High;2.0;Cat_6;A
466598;Female;Yes;45;Yes;Artist;9.0;Low;2.0;Cat_6;C
460222;Female;;72;Yes;Lawyer;4.0;High;;Cat_6;D
464857;Male;No;18;No;Healthcare;6.0;Low;4.0;Cat_4;D
465537;Female;Yes;56;Yes;Artist;0.0;High;5.0;Cat_3;A
463578;Female;No;23;No;Healthcare;0.0;Low;3.0;Cat_4;D
460526;Female;Yes;28;;;8.0;Average;4.0;Cat_3;C
460606;Male;No;21;No;Healthcare;;Low;5.0;Cat_7;A
466291;Male;No;22;No;Healthcare;;Low;;Cat_4;D
460103;Male;No;26;Yes;Artist;1.0;Low;1.0;Cat_4;A
467900;Female;No;37;No;Engineer;3.0;Low;1.0;Cat_6;A
459468;Male;Yes;35;No;Artist;9.0;Average;3.0;Cat_6;B
460371;Female;No;28;Yes;Artist;1.0;Low;2.0;Cat_6;C
466679;Female;No;43;Yes;Artist;8.0;Low;2.0;Cat_6;B
466814;Male;No;23;No;Healthcare;0.0;Low;3.0;Cat_6;A
465301;Female;Yes;40;Yes;Artist;0.0;Low;3.0;Cat_3;B
466138;Male;Yes;71;No;Lawyer;3.0;High;2.0;Cat_6;D
465884;Male;Yes;40;Yes;Executive;7.0;High;3.0;Cat_6;A
465408;Male;No;30;No;Executive;;Low;4.0;Cat_6;D
466370;Female;;48;Yes;Artist;0.0;Low;4.0;Cat_2;C
461623;Female;Yes;41;Yes;Artist;11.0;Average;2.0;Cat_6;B
466776;Male;Yes;86;Yes;Lawyer;0.0;Low;1.0;Cat_6;A
466411;Male;Yes;55;Yes;Artist;1.0;Average;3.0;Cat_3;A
462851;Male;No;19;No;Healthcare;0.0;Low;3.0;Cat_6;D
462421;Male;No;53;Yes;Artist;0.0;Low;2.0;Cat_6;A
460305;Female;;49;Yes;Entertainment;1.0;High;1.0;Cat_6;D
467411;Male;Yes;52;Yes;Artist;0.0;High;2.0;Cat_6;B
462983;Female;Yes;66;Yes;Lawyer;1.0;High;2.0;Cat_6;A
466133;Female;No;21;No;Healthcare;7.0;Low;5.0;Cat_2;D
462353;Female;Yes;58;Yes;Doctor;1.0;Average;2.0;Cat_6;C
466027;Female;Yes;70;No;Engineer;7.0;Low;1.0;Cat_3;B
461085;Female;No;27;No;Engineer;1.0;Low;1.0;Cat_3;A
459355;Female;Yes;78;No;Homemaker;;Low;1.0;Cat_6;A
467732;Female;No;43;Yes;Healthcare;8.0;Low;1.0;;D
467261;Female;Yes;77;Yes;Lawyer;0.0;High;2.0;Cat_6;C
461276;Male;Yes;68;Yes;Marketing;0.0;Low;2.0;Cat_7;A
461960;Male;Yes;57;Yes;Entertainment;0.0;Low;2.0;Cat_6;A
463750;Male;Yes;41;Yes;Artist;3.0;Average;3.0;Cat_6;C
462455;Male;No;20;No;Healthcare;1.0;Low;5.0;Cat_2;D
460982;Male;Yes;77;No;Lawyer;1.0;High;2.0;Cat_6;A
464969;Female;Yes;65;No;Lawyer;0.0;High;9.0;Cat_4;A
466297;Female;No;21;No;Healthcare;1.0;Low;4.0;Cat_4;D
460166;Female;No;21;No;Healthcare;1.0;Low;7.0;Cat_2;D
461393;Female;Yes;80;Yes;Artist;6.0;Average;2.0;Cat_6;C
466703;Female;Yes;46;Yes;Homemaker;0.0;Average;;Cat_6;C
464082;Male;Yes;77;Yes;Lawyer;0.0;Low;1.0;Cat_6;A
467519;Male;No;19;No;Healthcare;0.0;Low;3.0;Cat_6;D
465926;Male;Yes;26;Yes;Healthcare;6.0;Low;2.0;Cat_6;D
464537;Male;Yes;41;Yes;Artist;8.0;Average;3.0;Cat_6;A
464433;Male;No;33;Yes;Artist;;Low;;Cat_2;A
462417;Male;No;30;No;Healthcare;4.0;Low;4.0;Cat_6;D
467163;Male;No;32;No;Healthcare;9.0;Low;3.0;Cat_6;D
459777;Male;Yes;35;No;Artist;9.0;Low;3.0;Cat_7;A
465547;Female;Yes;68;;Lawyer;0.0;Low;1.0;Cat_6;A
461630;Male;Yes;51;Yes;Artist;1.0;Average;3.0;Cat_6;C
462357;Male;No;25;Yes;Artist;1.0;Low;3.0;Cat_6;A
462667;Female;Yes;40;No;Homemaker;2.0;Average;2.0;Cat_6;A
459725;Female;Yes;40;Yes;Artist;0.0;Low;2.0;Cat_6;A
461201;Female;No;55;Yes;Artist;;Low;1.0;Cat_6;A
465422;Female;Yes;40;Yes;Artist;1.0;Average;2.0;Cat_6;C
467808;Female;Yes;63;Yes;Artist;0.0;Average;2.0;Cat_6;C
462694;Male;Yes;61;Yes;Entertainment;6.0;Average;2.0;Cat_6;A
466286;Female;Yes;49;Yes;Artist;0.0;Average;5.0;Cat_2;C
465063;Female;Yes;68;Yes;Lawyer;1.0;High;2.0;Cat_6;C
464497;Female;No;39;No;Engineer;0.0;Low;3.0;Cat_3;A
463407;Female;No;33;No;Doctor;0.0;Low;1.0;Cat_3;D
466683;Female;Yes;49;No;Artist;1.0;Average;4.0;Cat_3;C
464965;Male;Yes;76;No;Executive;;Low;7.0;Cat_4;D
464422;Male;No;59;No;Entertainment;;Low;1.0;Cat_3;A
463692;Female;Yes;26;Yes;Healthcare;6.0;High;7.0;Cat_2;D
463028;Male;No;33;No;Doctor;1.0;Low;4.0;Cat_6;D
462267;Male;No;32;;Doctor;8.0;Low;2.0;Cat_6;D
463064;Male;Yes;33;No;Executive;9.0;High;2.0;Cat_6;D
462049;Male;Yes;39;Yes;Artist;14.0;Average;2.0;Cat_6;B
466615;Female;No;20;No;Healthcare;3.0;Low;3.0;Cat_1;D
464379;Female;Yes;40;Yes;Engineer;12.0;Average;3.0;Cat_6;B
465494;Male;Yes;41;Yes;Doctor;9.0;Average;2.0;Cat_6;B
465729;Male;Yes;41;Yes;Artist;0.0;Average;4.0;Cat_4;B
463331;Female;Yes;45;Yes;Artist;0.0;Low;3.0;Cat_6;C
459626;Female;Yes;26;No;Entertainment;1.0;Low;3.0;Cat_6;A
459431;Male;Yes;68;No;Artist;0.0;Low;2.0;Cat_6;A
460369;Female;Yes;46;Yes;Artist;;Low;2.0;Cat_6;A
467333;Female;Yes;58;Yes;Artist;;Average;6.0;Cat_2;C
465631;Male;No;35;Yes;Artist;9.0;Low;1.0;Cat_6;A
459987;Male;Yes;53;Yes;Healthcare;;High;2.0;Cat_6;D
463319;Female;Yes;73;No;Lawyer;1.0;High;3.0;Cat_6;B
466793;Female;;62;Yes;Artist;4.0;Average;3.0;Cat_6;B
464170;Male;Yes;38;No;Artist;8.0;Low;1.0;Cat_6;B
463409;Female;Yes;38;No;Entertainment;6.0;Average;5.0;Cat_2;A
465169;Female;No;59;Yes;Doctor;0.0;Low;4.0;Cat_6;B
462284;Male;Yes;48;Yes;Executive;1.0;Average;4.0;Cat_6;A
465529;Female;No;33;No;Doctor;0.0;Low;4.0;Cat_6;A
462572;Female;Yes;30;No;Engineer;1.0;Average;7.0;Cat_4;A
463924;Female;No;36;Yes;Artist;1.0;Low;1.0;Cat_5;A
466020;Male;Yes;86;No;Lawyer;0.0;Low;1.0;Cat_6;A
466333;Female;Yes;41;Yes;Artist;1.0;Average;2.0;Cat_6;C
460180;Female;Yes;27;Yes;Marketing;11.0;Average;2.0;Cat_6;A
465997;Female;No;31;No;Doctor;0.0;Low;3.0;Cat_6;A
463366;Male;Yes;71;No;Lawyer;0.0;Low;5.0;Cat_3;D
466657;Female;Yes;86;Yes;Lawyer;0.0;High;2.0;Cat_6;C
459260;Male;Yes;37;Yes;Artist;0.0;Average;4.0;Cat_7;C
465290;Male;Yes;46;Yes;Executive;1.0;High;5.0;Cat_6;B
459171;Male;Yes;40;Yes;Artist;1.0;Average;2.0;Cat_6;C
464511;Male;Yes;52;Yes;Marketing;1.0;Low;3.0;Cat_3;D
461308;Male;No;18;No;Healthcare;0.0;Low;2.0;Cat_6;D
460068;Female;No;37;Yes;Artist;9.0;Low;1.0;Cat_6;A
465100;Male;Yes;56;Yes;Artist;1.0;High;2.0;Cat_6;C
465148;Male;No;31;No;Artist;1.0;Low;;;A
467792;Male;No;21;No;Healthcare;0.0;Low;4.0;Cat_6;D
462564;Male;No;55;Yes;Executive;;Low;5.0;Cat_6;C
460456;Male;Yes;33;No;Executive;0.0;High;5.0;Cat_3;D
464334;Female;No;33;Yes;Healthcare;1.0;Low;3.0;Cat_6;D
463710;Male;No;49;Yes;Entertainment;0.0;Low;1.0;Cat_2;B
462412;Male;Yes;71;No;Artist;1.0;Low;5.0;Cat_6;C
466427;Female;Yes;25;No;Marketing;1.0;Low;4.0;Cat_4;A
465328;Male;Yes;35;No;Executive;0.0;High;5.0;Cat_6;A
460914;Female;No;36;Yes;Artist;9.0;Low;2.0;Cat_6;C
464352;Male;Yes;58;Yes;Doctor;0.0;Average;2.0;Cat_6;C
460854;Female;No;22;No;Marketing;1.0;Low;2.0;Cat_1;D
466391;Female;Yes;58;Yes;Engineer;0.0;Average;;Cat_6;A
463248;Female;Yes;26;No;Homemaker;8.0;Average;4.0;Cat_2;D
463871;Female;Yes;46;No;Artist;8.0;Low;1.0;Cat_6;B
464406;Female;No;39;Yes;Artist;0.0;Low;1.0;Cat_6;A
460332;Male;No;28;Yes;Healthcare;0.0;Low;5.0;Cat_6;D
463884;Female;No;28;No;Artist;0.0;Low;1.0;Cat_6;A
459291;Female;No;38;Yes;Entertainment;0.0;Low;1.0;Cat_6;A
463654;Female;No;39;No;Engineer;4.0;Low;3.0;Cat_3;D
463086;Male;No;30;Yes;Artist;8.0;Low;;Cat_5;A
467703;Male;No;26;Yes;Healthcare;1.0;Low;5.0;Cat_6;D
461458;Female;No;40;Yes;Artist;6.0;Low;1.0;Cat_6;B
459768;Male;No;19;No;Healthcare;0.0;Low;4.0;Cat_6;D
460559;Female;No;49;Yes;Healthcare;8.0;Low;1.0;Cat_3;D
465198;Male;Yes;53;Yes;Entertainment;8.0;Average;4.0;Cat_6;C
459961;Male;Yes;51;Yes;Artist;8.0;Low;3.0;Cat_2;A
464335;Male;Yes;50;Yes;Executive;4.0;High;3.0;Cat_6;C
459934;Male;No;49;Yes;Artist;0.0;Low;1.0;Cat_6;B
463790;Male;Yes;47;No;Executive;1.0;Low;4.0;Cat_4;A
460933;Female;Yes;76;Yes;Lawyer;0.0;High;2.0;Cat_6;A
467840;Female;;22;No;Healthcare;0.0;Low;6.0;Cat_2;D
465381;Female;No;25;No;Marketing;0.0;Low;4.0;Cat_6;C
461992;Female;No;37;Yes;Doctor;1.0;Low;1.0;Cat_4;A
466083;Female;No;21;No;Marketing;2.0;Low;2.0;Cat_3;D
